count,extreme_mean,extreme_minus_non_extreme,feature,feature_class,non_extreme_mean,pearson,rank,scope,spearman,target
469,48.491842225945405,-24.838901167015052,support_width,distribution_geometry,73.33074339296046,-0.06920789760532124,7,receiving_yards,-0.31236652901712975,probability_extremeness
469,0.28693635301258763,-0.01782619665816343,relative_dispersion,distribution_geometry,0.30476254967075106,-0.20959308081735403,8,receiving_yards,-0.2906718627277798,probability_extremeness
469,39.773972602739725,4.297972602739726,line,distribution_geometry,35.476,0.3395198879507587,9,receiving_yards,0.21551426556338496,probability_extremeness
469,550.082191780822,-0.3978082191780459,league_team_history_rows,history_depth,550.48,-0.004090402796620577,10,receiving_yards,-0.041609784976005475,probability_extremeness
469,34.0,0.0,team_history_rows,history_depth,34.0,,11,receiving_yards,,probability_extremeness
469,10000.0,0.0,unique_values,distribution_geometry,10000.0,,12,receiving_yards,,probability_extremeness
469,0.0,0.0,zero_mass,distribution_geometry,0.0,,13,receiving_yards,,probability_extremeness
169,-3.1479210240994075,-3.0454945919395655,standardized_mean_line_gap,distribution_geometry,-0.10242643215984182,-0.5794585244857094,1,receptions,-0.4195846531037556,probability_extremeness
169,-2.375125,-2.295382575757576,mean_minus_line,distribution_geometry,-0.07974242424242424,-0.45579753489074615,2,receptions,-0.40789198892647327,probability_extremeness
169,5.25,-6.6469696969696965,support_width,distribution_geometry,11.896969696969697,-0.4568917628086707,3,receptions,-0.40133717494873294,probability_extremeness
169,6.0,-6.73939393939394,unique_values,distribution_geometry,12.73939393939394,-0.4638587827842587,4,receptions,-0.4008001143603383,probability_extremeness
169,0.7611123795133908,-0.970429504425561,simulated_stddev,distribution_geometry,1.7315418839389518,-0.44709317646196656,5,receptions,-0.37310491055422634,probability_extremeness
169,0.5,-2.6636363636363636,simulated_median,distribution_geometry,3.1636363636363636,-0.40907322203271806,6,receptions,-0.3690988982506718,probability_extremeness
169,0.624875,-2.6862916666666665,simulated_mean,distribution_geometry,3.3111666666666664,-0.40671834583515404,7,receptions,-0.3683474130191799,probability_extremeness
169,0.5575,0.47186969696969694,zero_mass,distribution_geometry,0.08563030303030303,0.4816373668010587,8,receptions,0.3631101709243513,probability_extremeness
169,4.5,-10.433333333333334,player_history_games,history_depth,14.933333333333334,-0.5474252759987965,9,receptions,-0.3435221653691563,probability_extremeness
169,0.4595294602673683,0.039680616661738,relative_dispersion,distribution_geometry,0.4198488436056303,0.33631741319785585,10,receptions,0.3171884644799151,probability_extremeness
169,547.5,-2.5848484848485214,league_team_history_rows,history_depth,550.0848484848485,-0.11794198613168932,11,receptions,-0.15774164675045244,probability_extremeness
169,3.0,-0.3909090909090911,line,distribution_geometry,3.390909090909091,-0.13243070076642902,12,receptions,-0.13851015930137248,probability_extremeness
169,34.0,0.0,team_history_rows,history_depth,34.0,,13,receptions,,probability_extremeness
42,-3.118356952806308,-2.7395658159139367,standardized_mean_line_gap,distribution_geometry,-0.3787911368923713,-0.7759331285965961,1,rushing_attempts,-0.8573859492747752,probability_extremeness
42,7.714285714285714,-7.542857142857144,player_history_games,history_depth,15.257142857142858,-0.8007529060678011,2,rushing_attempts,-0.8076629458275421,probability_extremeness
42,-4.676614285714286,-4.012588571428571,mean_minus_line,distribution_geometry,-0.6640257142857143,-0.6077371971782316,3,rushing_attempts,-0.7761931772141641,probability_extremeness
42,7.214285714285714,1.5142857142857142,line,distribution_geometry,5.7,0.26445879213257956,4,rushing_attempts,0.26255612637078457,probability_extremeness
42,546.8571428571429,-4.0,league_team_history_rows,history_depth,550.8571428571429,-0.20537206518423115,5,rushing_attempts,-0.25417847650527853,probability_extremeness
42,2.5376714285714286,-2.498302857142857,simulated_mean,distribution_geometry,5.0359742857142855,-0.07720725229473746,6,rushing_attempts,-0.17284853833017422,probability_extremeness
42,1.4404840825199965,-0.5762458896632985,simulated_stddev,distribution_geometry,2.016729972183295,-0.1903309939477946,7,rushing_attempts,-0.17284853833017422,probability_extremeness
42,2.5714285714285716,-2.3714285714285714,simulated_median,distribution_geometry,4.942857142857143,-0.07499618685304607,8,rushing_attempts,-0.16700780839996598,probability_extremeness
42,0.22857142857142856,0.14867142857142857,zero_mass,distribution_geometry,0.0799,0.38540597931689347,9,rushing_attempts,0.14295577406639706,probability_extremeness
